20000,34000,29333,34000,34000,34000,34000,29333,34000,34000,34000,34000,38666,34000,34000,38666,38666,48000,71333,92333,73666,69000,69000,78333,83000,87666,87666,97000,113333,148333,449333,68,108,104,92,84,80,140,116,100,152,168,88,92,104,124,128,180,236,120,116,196,120,108,152,112,96,96,136,236,204,272,imgs/p1607173552.jpg,动作;爱情;奇幻;惊悚,国产,135,2012,7979,画皮2
3000,3666,4333,4333,4333,4333,4333,3666,3666,5666,7000,5333,5000,7000,7666,7333,9000,12000,11333,10000,10000,12000,12000,14000,18333,20333,22333,24000,27333,33000,69000,38,74,74,74,74,218,98,74,74,242,86,74,74,74,86,74,86,74,74,86,74,74,194,86,74,86,650,206,326,194,206,imgs/p2164225595.jpg,喜剧;科幻;犯罪;动画;冒险;家庭,进口特种,99,2014,38244,神偷奶爸2
3000,3800,6800,8400,7200,6000,6200,5600,5800,5600,6200,6400,6000,5600,7800,6400,5600,9400,7800,6400,4800,5000,8000,12400,11400,11000,11800,22400,23000,24400,39200,38,78,70,86,62,70,86,94,86,62,62,70,102,62,414,158,70,62,62,78,70,70,62,166,62,62,78,430,342,294,198,imgs/p1753617325.jpg,剧情;动作,国产,117,2012,6084,大上海
150000,358000,366000,458000,392000,270000,248000,242000,238000,258000,314000,286000,214000,208000,224000,238000,230000,222000,218000,200000,192000,184000,188000,160000,190000,228000,266000,284000,288000,274000,546000,88,880,976,712,1000,1120,760,1216,664,712,376,496,688,184,160,784,184,160,496,664,880,184,808,1240,640,1072,520,616,496,328,280,imgs/p2165007211.jpg,儿童;喜剧;家庭,国产,95,2014,9684,爸爸去哪儿
53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,539,899,899,899,899,899,899,899,899,899,899,899,899,899,1019,899,1139,899,899,1139,1019,899,1379,1379,1019,899,1259,1379,1499,6659,1499,imgs/p2172931578.jpg,喜剧;动画;冒险,进口,91,2014,1196,火鸡总动员
0,6000,6000,6000,6000,6000,6000,6000,8000,10000,10000,10000,10000,12000,10000,10000,12000,12000,16000,23000,17000,19000,29000,33000,42000,50000,48000,50000,56000,69000,143000,18,42,42,42,42,42,42,42,50,50,42,42,42,42,42,42,42,42,42,42,42,50,42,50,50,42,114,410,178,290,249,imgs/p2153376390.jpg,动作;犯罪,国产,99,2013,9710,特殊身份
9000,11666,11000,11000,11000,11000,9666,9666,9666,10333,10333,10333,10333,10333,10333,10333,10333,11000,11000,11666,11666,12333,13000,15333,16666,16666,16666,18666,22666,35000,73666,7088,7120,7108,7104,7108,7108,7104,7112,7104,7108,7108,7104,7100,7104,7104,7104,7104,7104,7100,7100,7104,7104,7112,7228,7176,7104,7112,7100,7100,7292,7276,imgs/p2182457355.jpg,动作;犯罪;悬疑;惊悚,国产,130,2014,9007,窃听风云3
3000,5333,4166,4400,3933,3933,3933,3933,3933,4400,6266,5566,4866,4866,4866,4866,5333,5800,6266,6966,7433,7900,7900,7900,9300,10233,13266,17000,17700,20733,50133,48,80,72,80,72,72,112,104,80,120,184,88,72,88,104,80,80,128,96,104,80,80,128,80,144,112,160,448,160,280,296,imgs/p1382821850.jpg,剧情;喜剧;爱情;奇幻,国产,128,2012,13297,大魔术师
2000,2333,3333,5666,6833,6166,5166,7000,5666,4833,5500,5833,5833,5166,5166,5166,5166,6500,7500,8833,11000,8666,8000,8666,10333,14833,17666,14000,14166,16666,31666,0,28,100,68,24,12,28,56,28,24,76,28,16,68,72,88,36,16,12,36,196,28,28,48,84,72,92,132,64,56,92,imgs/p918517782.jpg,喜剧;爱情,国产,115,2011,13824,单身男女
6850,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,6856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,imgs/p2276234635.jpg,动作;惊悚;冒险,进口分账,148,2015,8533,007
